9001279722:1:R:30, TOTAL_icmp_recv:200
9001601891:6:R:30, icmp_sent_TOTAL:218
9001603914:6:R:30, icmp_recv_TOTAL:176
9001786111:3:R:30, icmp_sent_TOTAL:192
9001788134:3:R:30, icmp_recv_TOTAL:185
9301122901:2:R:31, icmp_sent_TOTAL:134
9301124812:2:R:31, icmp_recv_TOTAL:80
9301137427:8:R:31, icmp_sent_TOTAL:126
9301139450:8:R:31, icmp_recv_TOTAL:127
9301235130:4:R:31, icmp_sent_TOTAL:159
9301237153:4:R:31, icmp_recv_TOTAL:187
9301276506:1:R:31, TOTAL_icmp_sent:16
9301278529:1:R:31, TOTAL_icmp_recv:206
9301601873:6:R:31, icmp_sent_TOTAL:224
9301603896:6:R:31, icmp_recv_TOTAL:182
9301786112:3:R:31, icmp_sent_TOTAL:197
9301788135:3:R:31, icmp_recv_TOTAL:191
9601122897:2:R:32, icmp_sent_TOTAL:137
9601124808:2:R:32, icmp_recv_TOTAL:82
9601137442:8:R:32, icmp_sent_TOTAL:129
9601139465:8:R:32, icmp_recv_TOTAL:129
9601235135:4:R:32, icmp_sent_TOTAL:164
9601237159:4:R:32, icmp_recv_TOTAL:191
9601276512:1:R:32, TOTAL_icmp_sent:16
9601278536:1:R:32, TOTAL_icmp_recv:211
9601601898:6:R:32, icmp_sent_TOTAL:229
9601603921:6:R:32, icmp_recv_TOTAL:185
9601786116:3:R:32, icmp_sent_TOTAL:201
9601788140:3:R:32, icmp_recv_TOTAL:195
9901122890:2:R:33, icmp_sent_TOTAL:140
9901124801:2:R:33, icmp_recv_TOTAL:84
9901137426:8:R:33, icmp_sent_TOTAL:133
9901139449:8:R:33, icmp_recv_TOTAL:132
9901235127:4:R:33, icmp_sent_TOTAL:169
9901237150:4:R:33, icmp_recv_TOTAL:196
9901276495:1:R:33, TOTAL_icmp_sent:16
9901278519:1:R:33, TOTAL_icmp_recv:217
9901601881:6:R:33, icmp_sent_TOTAL:236
9901603904:6:R:33, icmp_recv_TOTAL:189
9901786109:3:R:33, icmp_sent_TOTAL:207
9901788132:3:R:33, icmp_recv_TOTAL:200
10201122881:2:R:34, icmp_sent_TOTAL:142
10201124792:2:R:34, icmp_recv_TOTAL:87
10201137417:8:R:34, icmp_sent_TOTAL:135
10201139440:8:R:34, icmp_recv_TOTAL:135
10201235138:4:R:34, icmp_sent_TOTAL:173
10201237161:4:R:34, icmp_recv_TOTAL:200
10201276496:1:R:34, TOTAL_icmp_sent:16
10201278519:1:R:34, TOTAL_icmp_recv:220
10201601881:6:R:34, icmp_sent_TOTAL:241
10201603905:6:R:34, icmp_recv_TOTAL:193
10201786120:3:R:34, icmp_sent_TOTAL:212
10201788143:3:R:34, icmp_recv_TOTAL:204
10501122899:2:R:35, icmp_sent_TOTAL:146
10501124810:2:R:35, icmp_recv_TOTAL:88
10501137435:8:R:35, icmp_sent_TOTAL:142
10501139458:8:R:35, icmp_recv_TOTAL:140
10501235136:4:R:35, icmp_sent_TOTAL:177
10501237159:4:R:35, icmp_recv_TOTAL:205
10501276504:1:R:35, TOTAL_icmp_sent:17
10501278528:1:R:35, TOTAL_icmp_recv:229
10501601880:6:R:35, icmp_sent_TOTAL:250
10501603903:6:R:35, icmp_recv_TOTAL:202
10501786119:3:R:35, icmp_sent_TOTAL:220
10501788142:3:R:35, icmp_recv_TOTAL:213
10801122899:2:R:36, icmp_sent_TOTAL:150
10801124810:2:R:36, icmp_recv_TOTAL:91
10801137433:8:R:36, icmp_sent_TOTAL:146
10801139457:8:R:36, icmp_recv_TOTAL:143
10801235126:4:R:36, icmp_sent_TOTAL:183
10801237150:4:R:36, icmp_recv_TOTAL:210
10801276504:1:R:36, TOTAL_icmp_sent:17
10801278528:1:R:36, TOTAL_icmp_recv:235
10801601889:6:R:36, icmp_sent_TOTAL:258
10801603912:6:R:36, icmp_recv_TOTAL:206
10801786109:3:R:36, icmp_sent_TOTAL:225
10801788132:3:R:36, icmp_recv_TOTAL:219
TEST TIMEOUT
TEST FAILED
Test ended at simulation time: 10900000824
