3901079243:13:R:13, icmp_recv_TOTAL:114
3901122788:2:R:13, icmp_sent_TOTAL:66
3901124699:2:R:13, icmp_recv_TOTAL:60
3901137314:8:R:13, icmp_sent_TOTAL:61
3901139225:8:R:13, icmp_recv_TOTAL:95
3901235026:4:R:13, icmp_sent_TOTAL:78
3901236938:4:R:13, icmp_recv_TOTAL:77
3901276505:1:R:13, TOTAL_icmp_sent:11
3901278527:1:R:13, TOTAL_icmp_recv:206
3901288428:9:R:13, icmp_sent_TOTAL:62
3901290339:9:R:13, icmp_recv_TOTAL:96
3901443148:12:R:13, icmp_sent_TOTAL:58
3901445170:12:R:13, icmp_recv_TOTAL:123
3901595135:11:R:13, icmp_sent_TOTAL:60
3901597046:11:R:13, icmp_recv_TOTAL:56
3901601871:6:R:13, icmp_sent_TOTAL:106
3901603782:6:R:13, icmp_recv_TOTAL:92
3901785998:3:R:13, icmp_sent_TOTAL:95
3901787908:3:R:13, icmp_recv_TOTAL:86
4200959536:10:R:14, icmp_sent_TOTAL:122
4200961559:10:R:14, icmp_recv_TOTAL:120
4201077228:13:R:14, icmp_sent_TOTAL:142
4201079250:13:R:14, icmp_recv_TOTAL:120
4201122778:2:R:14, icmp_sent_TOTAL:70
4201124689:2:R:14, icmp_recv_TOTAL:62
4201137311:8:R:14, icmp_sent_TOTAL:63
4201139334:8:R:14, icmp_recv_TOTAL:101
4201235023:4:R:14, icmp_sent_TOTAL:83
4201236933:4:R:14, icmp_recv_TOTAL:80
4201276502:1:R:14, TOTAL_icmp_sent:11
4201278526:1:R:14, TOTAL_icmp_recv:218
4201288428:9:R:14, icmp_sent_TOTAL:66
4201290451:9:R:14, icmp_recv_TOTAL:101
4201443138:12:R:14, icmp_sent_TOTAL:62
4201445161:12:R:14, icmp_recv_TOTAL:131
4201595135:11:R:14, icmp_sent_TOTAL:64
4201597046:11:R:14, icmp_recv_TOTAL:59
4201601888:6:R:14, icmp_sent_TOTAL:114
4201603799:6:R:14, icmp_recv_TOTAL:97
4201786107:3:R:14, icmp_sent_TOTAL:101
4201788018:3:R:14, icmp_recv_TOTAL:92
4500959539:10:R:15, icmp_sent_TOTAL:128
4500961562:10:R:15, icmp_recv_TOTAL:125
4501077230:13:R:15, icmp_sent_TOTAL:148
4501079253:13:R:15, icmp_recv_TOTAL:125
4501122778:2:R:15, icmp_sent_TOTAL:74
4501124689:2:R:15, icmp_recv_TOTAL:66
4501137313:8:R:15, icmp_sent_TOTAL:66
4501139336:8:R:15, icmp_recv_TOTAL:103
4501235016:4:R:15, icmp_sent_TOTAL:88
4501236926:4:R:15, icmp_recv_TOTAL:82
4501276495:1:R:15, TOTAL_icmp_sent:11
4501278518:1:R:15, TOTAL_icmp_recv:227
4501288436:9:R:15, icmp_sent_TOTAL:69
4501290459:9:R:15, icmp_recv_TOTAL:105
4501443147:12:R:15, icmp_sent_TOTAL:65
4501445170:12:R:15, icmp_recv_TOTAL:135
4501595144:11:R:15, icmp_sent_TOTAL:68
4501597055:11:R:15, icmp_recv_TOTAL:61
4501601870:6:R:15, icmp_sent_TOTAL:120
4501603893:6:R:15, icmp_recv_TOTAL:100
4501786110:3:R:15, icmp_sent_TOTAL:106
4501788021:3:R:15, icmp_recv_TOTAL:97
4800959556:10:R:16, icmp_sent_TOTAL:134
4800961579:10:R:16, icmp_recv_TOTAL:129
4801077248:13:R:16, icmp_sent_TOTAL:155
4801079270:13:R:16, icmp_recv_TOTAL:129
4801122787:2:R:16, icmp_sent_TOTAL:77
4801124698:2:R:16, icmp_recv_TOTAL:69
4801137323:8:R:16, icmp_sent_TOTAL:70
4801139346:8:R:16, icmp_recv_TOTAL:110
4801235025:4:R:16, icmp_sent_TOTAL:93
4801236935:4:R:16, icmp_recv_TOTAL:85
4801276504:1:R:16, TOTAL_icmp_sent:11
4801278528:1:R:16, TOTAL_icmp_recv:235
4801288428:9:R:16, icmp_sent_TOTAL:71
4801290451:9:R:16, icmp_recv_TOTAL:110
4801443147:12:R:16, icmp_sent_TOTAL:67
4801445170:12:R:16, icmp_recv_TOTAL:142
4801595144:11:R:16, icmp_sent_TOTAL:72
4801597055:11:R:16, icmp_recv_TOTAL:64
4801601890:6:R:16, icmp_sent_TOTAL:126
4801603912:6:R:16, icmp_recv_TOTAL:103
4801786119:3:R:16, icmp_sent_TOTAL:111
4801788142:3:R:16, icmp_recv_TOTAL:101
5100959538:10:R:17, icmp_sent_TOTAL:141
5100961562:10:R:17, icmp_recv_TOTAL:135
5101077228:13:R:17, icmp_sent_TOTAL:165
